,loss,acc,val_loss,val_acc
0,0.6917053461074829,0.5396825671195984,0.6795273423194885,0.8125
1,0.6742236018180847,0.6666666865348816,0.6778677701950073,0.6875
2,0.6674529314041138,0.658730149269104,0.6722415089607239,0.59375
3,0.6525148153305054,0.7063491940498352,0.6629183292388916,0.75
4,0.6517258286476135,0.6904761791229248,0.6625549793243408,0.6875
5,0.6392699480056763,0.7063491940498352,0.6523996591567993,0.75
6,0.6268179416656494,0.7698412537574768,0.6408674716949463,0.6875
7,0.6239503026008606,0.761904776096344,0.6310318112373352,0.75
8,0.6058928966522217,0.7698412537574768,0.6232229471206665,0.6875
9,0.6100512146949768,0.7222222089767456,0.6221808791160583,0.71875
10,0.5993037223815918,0.6984127163887024,0.6260097622871399,0.6875
11,0.5727012157440186,0.7777777910232544,0.6086493730545044,0.71875
12,0.5612137913703918,0.7857142686843872,0.6053780317306519,0.65625
13,0.5675483345985413,0.6904761791229248,0.5928258895874023,0.75
14,0.5453057885169983,0.7777777910232544,0.5887428522109985,0.6875
15,0.5579688549041748,0.7063491940498352,0.5835145711898804,0.6875
16,0.5353810787200928,0.761904776096344,0.5939985513687134,0.6875
17,0.5116732716560364,0.7936508059501648,0.5705478191375732,0.71875
18,0.5367851257324219,0.761904776096344,0.5696442723274231,0.6875
19,0.5172836780548096,0.7777777910232544,0.5622261166572571,0.6875
20,0.48856183886528015,0.8253968358039856,0.5570424795150757,0.71875
21,0.48179537057876587,0.8333333134651184,0.5591220855712891,0.6875
22,0.4976233243942261,0.7777777910232544,0.5623251795768738,0.65625
23,0.5214198231697083,0.7222222089767456,0.5503417253494263,0.71875
24,0.4960539937019348,0.8015872836112976,0.5501574277877808,0.6875
25,0.4898146688938141,0.7698412537574768,0.5461500883102417,0.71875
26,0.4606722295284271,0.7777777910232544,0.5513726472854614,0.75
27,0.47181764245033264,0.8015872836112976,0.5498506426811218,0.75
28,0.48922237753868103,0.817460298538208,0.5493687987327576,0.75
29,0.45733529329299927,0.8253968358039856,0.5433752536773682,0.75
30,0.5144585371017456,0.738095223903656,0.5421903133392334,0.75
31,0.4360809624195099,0.7936508059501648,0.5413801670074463,0.78125
32,0.4555487334728241,0.8015872836112976,0.546399712562561,0.75
33,0.4471697211265564,0.8015872836112976,0.5535103678703308,0.75
34,0.4486352801322937,0.8333333134651184,0.5432329177856445,0.75
35,0.4490286111831665,0.8095238208770752,0.544217586517334,0.75
36,0.416361540555954,0.817460298538208,0.5321530103683472,0.75
37,0.418460488319397,0.8650793433189392,0.5478273630142212,0.75
38,0.4114128649234772,0.841269850730896,0.5433111190795898,0.65625
39,0.4012724757194519,0.8015872836112976,0.5493490695953369,0.75
40,0.39269179105758667,0.8333333134651184,0.5433396100997925,0.75
41,0.4218321442604065,0.8253968358039856,0.5514601469039917,0.75
42,0.42326414585113525,0.817460298538208,0.5495812296867371,0.75
43,0.4014784097671509,0.8333333134651184,0.5514788627624512,0.75
44,0.36579084396362305,0.8650793433189392,0.5366332530975342,0.71875
45,0.42213594913482666,0.8095238208770752,0.5580018758773804,0.71875
46,0.4067469835281372,0.8253968358039856,0.5356301069259644,0.75
47,0.4085903465747833,0.7936508059501648,0.5764104723930359,0.75
48,0.4242541491985321,0.817460298538208,0.5423166751861572,0.75
49,0.40752077102661133,0.8253968358039856,0.541835606098175,0.75
